,original_release_date,runtime_x,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,adult,budget,genres,id,imdb_id,original_language,original_title,popularity,release_date,runtime_y,status,title,vote_average,vote_count,drama
447,2017-03-03,87.0,Rotten,26.0,117.0,Spilled,40.0,7621.0,30,False,5000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",353569,tt1412528,en,Table 19,8.645067,2017-01-20,87.0,Released,table 19,6.2,192.0,True
448,2011-09-30,124.0,Certified-Fresh,92.0,165.0,Upright,81.0,25728.0,45,False,5000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",64720,tt1675192,en,Take Shelter,5.59686,2011-11-25,120.0,Released,take shelter,7.1,479.0,True
449,2009-02-21,78.0,Rotten,57.0,7.0,Upright,83.0,4282.0,1,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",25405,tt1019454,en,Taking Chance,2.804378,2009-09-21,77.0,Released,taking chance,6.8,31.0,True
450,2016-07-29,111.0,Certified-Fresh,85.0,54.0,Upright,69.0,3370.0,19,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",353571,tt1639084,en,Tallulah,4.957457,2016-01-23,111.0,Released,tallulah,6.8,203.0,True
451,2015-07-10,87.0,Certified-Fresh,96.0,156.0,Upright,76.0,11353.0,37,False,100000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",308084,tt3824458,en,Tangerine,4.832631,2015-07-10,87.0,Released,tangerine,6.9,166.0,True
452,2015-07-10,87.0,Certified-Fresh,96.0,156.0,Upright,76.0,11353.0,37,False,0,"[{'id': 18, 'name': 'Drama'}]",78401,tt1352455,en,Tangerine,0.05633,2008-10-23,95.0,Released,tangerine,7.0,1.0,True
453,2011-07-01,105.0,Certified-Fresh,87.0,98.0,Upright,60.0,7321.0,35,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",51993,tt1687281,en,Terri,2.69722,2011-07-01,105.0,Released,terri,6.6,44.0,True
454,2009-06-11,127.0,Fresh,71.0,109.0,Upright,70.0,11727.0,41,False,15000000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",11928,tt0964185,en,Tetro,2.90333,2009-06-11,127.0,Released,tetro,6.7,49.0,True
455,2013-09-20,112.0,Rotten,51.0,117.0,Spilled,43.0,10804.0,42,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",112200,tt1932718,en,Thanks for Sharing,11.26248,2012-09-07,112.0,Released,thanks for sharing,5.7,164.0,True
456,2016-10-14,128.0,Rotten,52.0,282.0,Upright,76.0,46663.0,53,False,44000000,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",302946,tt2140479,en,The Accountant,13.465656,2016-10-14,128.0,Released,the accountant,6.9,2121.0,True
